t,x0,y0,px0,py0,x1,y1,px1,py1,x2,y2,px2,py2
1.34,0.774177,0.345414,-0.87375,0.204272,0.288926,-0.233626,1.05098,-0.667762,-1.0631,-0.111789,-0.177226,0.46349
1.35,0.76537,0.347386,-0.887588,0.189952,0.299465,-0.240234,1.05675,-0.653615,-1.06483,-0.107153,-0.169163,0.463664
1.36,0.756425,0.349213,-0.901229,0.175124,0.310061,-0.246698,1.06241,-0.638938,-1.06649,-0.102515,-0.161183,0.463813
1.37,0.747345,0.350889,-0.914647,0.159792,0.320713,-0.253012,1.06793,-0.623733,-1.06806,-0.0978764,-0.153284,0.463941
1.38,0.738132,0.352409,-0.927815,0.143958,0.33142,-0.259173,1.07328,-0.608008,-1.06955,-0.0932364,-0.145461,0.46405
1.39,0.728789,0.353768,-0.940706,0.127629,0.342179,-0.265173,1.07842,-0.591771,-1.07097,-0.0885954,-0.137711,0.464142
1.4,0.719318,0.354962,-0.953293,0.110811,0.352988,-0.271008,1.08332,-0.57503,-1.07231,-0.0839536,-0.130029,0.464219
1.41,0.709723,0.355984,-0.965548,0.0935153,0.363845,-0.276673,1.08796,-0.557798,-1.07357,-0.0793111,-0.122413,0.464282
1.42,0.700007,0.356832,-0.977444,0.0757531,0.374747,-0.282164,1.0923,-0.540088,-1.07475,-0.0746679,-0.114858,0.464335
1.43,0.690174,0.357499,-0.988953,0.0575388,0.385691,-0.287475,1.09631,-0.521917,-1.07587,-0.0700244,-0.107361,0.464378
1.44,0.680228,0.357983,-1.00005,0.0388888,0.396674,-0.292602,1.09997,-0.503302,-1.0769,-0.0653804,-0.0999177,0.464413
1.45,0.670173,0.358277,-1.01071,0.0198217,0.407691,-0.297541,1.10323,-0.484264,-1.07786,-0.0607361,-0.0925244,0.464442
1.46,0.660014,0.358379,-1.0209,0.000358394,0.418738,-0.302287,1.10608,-0.464824,-1.07875,-0.0560915,-0.0851774,0.464466
1.47,0.649755,0.358284,-1.03061,-0.0194779,0.429812,-0.306838,1.10848,-0.445008,-1.07957,-0.0514468,-0.077873,0.464486
1.48,0.639402,0.357989,-1.03981,-0.039662,0.440908,-0.311188,1.11041,-0.424841,-1.08031,-0.0468018,-0.0706073,0.464503
1.49,0.628959,0.357491,-1.04847,-0.0601665,0.45202,-0.315334,1.11185,-0.404351,-1.08098,-0.0421567,-0.0633767,0.464518
1.5,0.618432,0.356786,-1.05659,-0.0809621,0.463145,-0.319275,1.11276,-0.38357,-1.08158,-0.0375115,-0.0561774,0.464532
1.51,0.607827,0.355872,-1.06413,-0.102018,0.474276,-0.323006,1.11314,-0.362529,-1.0821,-0.0328661,-0.0490055,0.464547
1.52,0.59715,0.354746,-1.0711,-0.123301,0.485408,-0.326525,1.11296,-0.341261,-1.08256,-0.0282205,-0.0418574,0.464561
1.53,0.586405,0.353406,-1.07747,-0.144777,0.496535,-0.329831,1.11219,-0.319801,-1.08294,-0.0235749,-0.0347292,0.464578
1.54,0.5756,0.35185,-1.08323,-0.16641,0.507652,-0.332921,1.11084,-0.298185,-1.08325,-0.018929,-0.0276173,0.464595
1.55,0.564741,0.350078,-1.08837,-0.188164,0.518752,-0.335795,1.10889,-0.276451,-1.08349,-0.0142829,-0.0205178,0.464615
